item,type,subject,property,stimulus,question_type,prompt,choices,answer,catch,list_number
englishmen drink tea ,statistical,Englishmen, drink tea,Englishmen drink tea.,generic,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,9
united states presidents are men,statistical,United States presidents, are men,United states presidents are men.,generic,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,9
barns are red,statistical,barns, are red,Barns are red.,generic,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,9
carrots are orange,statistical,carrots, are orange,Carrots are orange.,generic,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,9
cows live on farms,statistical,cows, live on farms,Cows live on farms.,generic,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,9
ducks are female,statistical,ducks, are female,Ducks are female.,generic,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,9
golfers wear plaid pants,statistical,golfers, wear plaid pants,Golfers wear plaid pants.,generic,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,9
leopards are predators,statistical,leopards, are predators,Leopards are predators.,generic,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,9
oranges are grown in florida,statistical,oranges, are grown in Florida,Oranges are grown in Florida.,generic,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,9
raincoats are plastic,statistical,raincoats, are plastic,Raincoats are plastic.,generic,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,9
snakes are long,statistical,snakes, are long,Snakes are long.,generic,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,9
summers are humid ,statistical,summers, are humid,Summers are humid.,generic,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,9
turtles eat lettuce,statistical,turtles, eat lettuce,Turtles eat lettuce.,generic,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,9
brazilians are south american,principled,Brazilians, are South American,Brazilians are South American.,generic,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,9
jews don’t eat pork ,principled,Jews, don’t eat pork,Jews don’t eat pork.,generic,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,9
artists are creative ,principled,artists, are creative,Artists are creative.,generic,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,9
books have pages,principled,books, have pages,Books have pages.,generic,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,9
cheetahs run fast,principled,cheetahs, run fast,Cheetahs run fast.,generic,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,9
dogs are mammals,principled,dogs, are mammals,Dogs are mammals.,generic,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,9
feathers are light,principled,feathers, are light,Feathers are light.,generic,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,9
journalists report news,principled,journalists, report news,Journalists report news.,generic,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,9
moose have antlers,principled,moose, have antlers,Moose have antlers.,generic,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,9
preschoolers cannot vote,principled,preschoolers, cannot vote,Preschoolers cannot vote.,generic,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,9
scissors cut,principled,scissors, cut,Scissors cut.,generic,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,9
squirrels live in trees,principled,squirrels, live in trees,Squirrels live in trees.,generic,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,9
trains travel on tracks,principled,trains, travel on tracks,Trains travel on tracks.,generic,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,9
frenchmen drink wine,statistical,Frenchmen, drink wine,"<i>Because</i> they are Frenchmen, Frenchmen drink wine.",by_virtue_of,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,9
airplanes have passengers,statistical,airplanes, have passengers,"<i>Because</i> they are airplanes, airplanes have passengers.",by_virtue_of,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,9
bears perform at circuses,statistical,bears, perform at circuses,"<i>Because</i> they are bears, bears perform at circuses.",by_virtue_of,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,9
cars have radios ,statistical,cars, have radios,"<i>Because</i> they are cars, cars have radios.",by_virtue_of,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,9
dancers are fit,statistical,dancers, are fit,"<i>Because</i> they are dancers, dancers are fit.",by_virtue_of,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,9
