item,type,subject,property,stimulus,question_type,prompt,choices,answer,catch,list_number
canadians are right-handed,statistical,Canadians, are right-handed,Canadians are right-handed.,generic,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,5
mormons live in utah,statistical,Mormons, live in Utah,Mormons live in Utah.,generic,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,5
bachelors get married,statistical,bachelors, get married,Bachelors get married.,generic,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,5
bricks are red ,statistical,bricks, are red,Bricks are red.,generic,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,5
cherries have stems,statistical,cherries, have stems,Cherries have stems.,generic,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,5
dogs wear collars ,statistical,dogs, wear collars,Dogs wear collars.,generic,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,5
fire trucks are red ,statistical,fire trucks, are red,Fire trucks are red.,generic,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,5
kangaroos live in australia,statistical,kangaroos, live in Australia,Kangaroos live in Australia.,generic,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,5
mushrooms are used in cooking,statistical,mushrooms, are used in cooking,Mushrooms are used in cooking.,generic,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,5
professors are absent-minded ,statistical,professors, are absent-minded,Professors are absent-minded.,generic,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,5
sheep live in herds,statistical,sheep, live in herds,Sheep live in herds.,generic,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,5
strawberries are sold in boxes,statistical,strawberries, are sold in boxes,Strawberries are sold in boxes.,generic,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,5
trampolines are black,statistical,trampolines, are black,Trampolines are black.,generic,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,5
hindus don’t eat beef ,principled,Hindus, don’t eat beef,Hindus don’t eat beef.,generic,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,5
ants are insects,principled,ants, are insects,Ants are insects.,generic,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,5
