item,type,subject,property,stimulus,question_type,prompt,choices,answer,catch,list_number
hindus live in india ,statistical,Hindus, live in India,Hindus live in India.,generic,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,15
ants can bite,statistical,ants, can bite,Ants can bite.,generic,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,15
bikers have tattoos ,statistical,bikers, have tattoos,Bikers have tattoos.,generic,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,15
celebrities are arrogant,statistical,celebrities, are arrogant,Celebrities are arrogant.,generic,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,15
diapers are white,statistical,diapers, are white,Diapers are white.,generic,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,15
elms are tall,statistical,elms, are tall,Elms are tall.,generic,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,15
hair nets are black ,statistical,hair nets, are black,Hair nets are black.,generic,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,15
mammals are placental mammals,statistical,mammals, are placental mammals,Mammals are placental mammals.,generic,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,15
pigs are kept in pens ,statistical,pigs, are kept in pens,Pigs are kept in pens.,generic,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,15
roller skates have laces,statistical,roller skates, have laces,Roller skates have laces.,generic,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,15
spandex is thin,statistical,spandex, is thin,Spandex is thin.,generic,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,15
teachers are female,statistical,teachers, are female,Teachers are female.,generic,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,15
worms are used as bait,statistical,worms, are used as bait,Worms are used as bait.,generic,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,15
englishmen are from great britain,principled,Englishmen, are from Great Britain,Englishmen are from Great Britain.,generic,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,15
united states presidents are over 35,principled,United States presidents, are over 35,United states presidents are over 35.,generic,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,15
barns are buildings,principled,barns, are buildings,Barns are buildings.,generic,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,15
carrots are crunchy,principled,carrots, are crunchy,Carrots are crunchy.,generic,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,15
cows have udders,principled,cows, have udders,Cows have udders.,generic,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,15
ducks lay eggs,principled,ducks, lay eggs,Ducks lay eggs.,generic,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,15
golfers use clubs,principled,golfers, use clubs,Golfers use clubs.,generic,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,15
leopards have spots,principled,leopards, have spots,Leopards have spots.,generic,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,15
oranges grow on trees,principled,oranges, grow on trees,Oranges grow on trees.,generic,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,15
raincoats are waterproof,principled,raincoats, are waterproof,Raincoats are waterproof.,generic,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,15
snakes lay eggs,principled,snakes, lay eggs,Snakes lay eggs.,generic,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,15
summers are warm,principled,summers, are warm,Summers are warm.,generic,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,15
turtles walk slowly ,principled,turtles, walk slowly,Turtles walk slowly.,generic,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,15
americans are brunettes,statistical,Americans, are brunettes,"<i>Because</i> they are Americans, Americans are brunettes.",by_virtue_of,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,15
italians are catholic ,statistical,Italians, are Catholic,"<i>Because</i> they are Italians, Italians are Catholic.",by_virtue_of,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,15
