item,type,subject,property,stimulus,question_type,prompt,choices,answer,catch,list_number
christians read the bible,principled,Christians, read the bible,Christians read the bible.,generic,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,6
muslims pray to allah,principled,Muslims, pray to Allah,Muslims pray to Allah.,generic,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,6
bananas are yellow,principled,bananas, are yellow,Bananas are yellow.,generic,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,6
bulldozers are heavy,principled,bulldozers, are heavy,Bulldozers are heavy.,generic,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,6
clocks tell time,principled,clocks, tell time,Clocks tell time.,generic,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,6
dolls are manufactured,principled,dolls, are manufactured,Dolls are manufactured.,generic,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,6
goats have horns,principled,goats, have horns,Goats have horns.,generic,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,6
lemons are sour ,principled,lemons, are sour,Lemons are sour.,generic,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,6
needles are sharp,principled,needles, are sharp,Needles are sharp.,generic,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,6
raccoons look like bandits,principled,raccoons, look like bandits,Raccoons look like bandits.,generic,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,6
shower caps are waterproof,principled,shower caps, are waterproof,Shower caps are waterproof.,generic,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,6
submarines are airtight,principled,submarines, are airtight,Submarines are airtight.,generic,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,6
trumpets are instruments,principled,trumpets, are instruments,Trumpets are instruments.,generic,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,6
hindus live in india ,statistical,Hindus, live in India,Hindus live in India.,generic,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,6
ants can bite,statistical,ants, can bite,Ants can bite.,generic,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,6
bikers have tattoos ,statistical,bikers, have tattoos,Bikers have tattoos.,generic,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,6
celebrities are arrogant,statistical,celebrities, are arrogant,Celebrities are arrogant.,generic,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,6
diapers are white,statistical,diapers, are white,Diapers are white.,generic,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,6
elms are tall,statistical,elms, are tall,Elms are tall.,generic,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,6
hair nets are black ,statistical,hair nets, are black,Hair nets are black.,generic,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,6
mammals are placental mammals,statistical,mammals, are placental mammals,Mammals are placental mammals.,generic,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,6
