item,type,subject,property,stimulus,question_type,prompt,choices,answer,catch,list_number
frenchmen drink wine,statistical,Frenchmen, drink wine,Frenchmen drink wine.,generic,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,11
airplanes have passengers,statistical,airplanes, have passengers,Airplanes have passengers.,generic,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,11
bears perform at circuses,statistical,bears, perform at circuses,Bears perform at circuses.,generic,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,11
cars have radios ,statistical,cars, have radios,Cars have radios.,generic,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,11
dancers are fit,statistical,dancers, are fit,Dancers are fit.,generic,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,11
eggshells are white,statistical,eggshells, are white,Eggshells are white.,generic,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,11
grass grows on lawns,statistical,grass, grows on lawns,Grass grows on lawns.,generic,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,11
lifeguards are muscular,statistical,lifeguards, are muscular,Lifeguards are muscular.,generic,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,11
peacocks are ornamental pets,statistical,peacocks, are ornamental pets,Peacocks are ornamental pets.,generic,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,11
rocking chairs are wooden,statistical,rocking chairs, are wooden,Rocking chairs are wooden.,generic,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,11
snow falls in the winter,statistical,snow, snow falls in the winter,Snow snow falls in the winter.,generic,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,11
tables are made of wood,statistical,tables, are made of wood,Tables are made of wood.,generic,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,11
wallets are made of leather,statistical,wallets, are made of leather,Wallets are made of leather.,generic,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,11
canadians live north of the us,principled,Canadians, live north of the US,Canadians live north of the US.,generic,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,11
mormons don’t drink alcohol,principled,Mormons, don’t drink alcohol,Mormons don’t drink alcohol.,generic,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,11
bachelors are unmarried,principled,bachelors, are unmarried,Bachelors are unmarried.,generic,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,11
bricks are rectangular,principled,bricks, are rectangular,Bricks are rectangular.,generic,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,11
cherries are red ,principled,cherries, are red,Cherries are red.,generic,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,11
dogs bark at strangers,statistical,dogs, bark at strangers,Dogs bark at strangers.,generic,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,11
fire trucks have hoses,principled,fire trucks, have hoses,Fire trucks have hoses.,generic,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,11
kangaroos have pouches,principled,kangaroos, have pouches,Kangaroos have pouches.,generic,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,11
mushrooms are fungi,principled,mushrooms, are fungi,Mushrooms are fungi.,generic,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,11
professors are highly educated,principled,professors, are highly educated,Professors are highly educated.,generic,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,11
sheep produce milk,principled,sheep, produce milk,Sheep produce milk.,generic,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,11
strawberries are red ,principled,strawberries, are red,Strawberries are red.,generic,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,11
trampolines are bouncy,principled,trampolines, are bouncy,Trampolines are bouncy.,generic,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,11
germans drink beer ,statistical,Germans, drink beer,"<i>Because</i> they are Germans, Germans drink beer.",by_virtue_of,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,11
ambulances have seatbelts,statistical,ambulances, have seatbelts,"<i>Because</i> they are ambulances, ambulances have seatbelts.",by_virtue_of,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,11
bees are worker bees,statistical,bees, are worker bees,"<i>Because</i> they are bees, bees are worker bees.",by_virtue_of,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,11
cats like milk,statistical,cats, like milk,"<i>Because</i> they are cats, cats like milk.",by_virtue_of,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,11
deer are brown,statistical,deer, are brown,"<i>Because</i> they are deer, deer are brown.",by_virtue_of,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,11
elk are brown,statistical,elk, are brown,"<i>Because</i> they are elk, elk are brown.",by_virtue_of,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,11
gymnasts are young,statistical,gymnasts, are young,"<i>Because</i> they are gymnasts, gymnasts are young.",by_virtue_of,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,11
lions are male,statistical,lions, are male,"<i>Because</i> they are lions, lions are male.",by_virtue_of,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,11
pigeons sit on statues ,statistical,pigeons, sit on statues,"<i>Because</i> they are pigeons, pigeons sit on statues.",by_virtue_of,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,11
rocks are jagged ,statistical,rocks, are jagged,"<i>Because</i> they are rocks, rocks are jagged.",by_virtue_of,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,11
sows are pink,statistical,sows, are pink,"<i>Because</i> they are sows, sows are pink.",by_virtue_of,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,11
taxis are yellow ,statistical,taxis, are yellow,"<i>Because</i> they are taxis, taxis are yellow.",by_virtue_of,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,11
winters are snowy ,statistical,winters, are snowy,"<i>Because</i> they are winters, winters are snowy.",by_virtue_of,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,11
christians read the bible,principled,Christians, read the bible,"<i>Because</i> they are Christians, Christians read the bible.",by_virtue_of,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,11
muslims pray to allah,principled,Muslims, pray to Allah,"<i>Because</i> they are Muslims, Muslims pray to Allah.",by_virtue_of,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,11
bananas are yellow,principled,bananas, are yellow,"<i>Because</i> they are bananas, bananas are yellow.",by_virtue_of,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,11
bulldozers are heavy,principled,bulldozers, are heavy,"<i>Because</i> they are bulldozers, bulldozers are heavy.",by_virtue_of,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,11
clocks tell time,principled,clocks, tell time,"<i>Because</i> they are clocks, clocks tell time.",by_virtue_of,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,11
dolls are manufactured,principled,dolls, are manufactured,"<i>Because</i> they are dolls, dolls are manufactured.",by_virtue_of,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,11
goats have horns,principled,goats, have horns,"<i>Because</i> they are goats, goats have horns.",by_virtue_of,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,11
lemons are sour ,principled,lemons, are sour,"<i>Because</i> they are lemons, lemons are sour.",by_virtue_of,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,11
needles are sharp,principled,needles, are sharp,"<i>Because</i> they are needles, needles are sharp.",by_virtue_of,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,11
raccoons look like bandits,principled,raccoons, look like bandits,"<i>Because</i> they are raccoons, raccoons look like bandits.",by_virtue_of,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,11
shower caps are waterproof,principled,shower caps, are waterproof,"<i>Because</i> they are shower caps, shower caps are waterproof.",by_virtue_of,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,11
submarines are airtight,principled,submarines, are airtight,"<i>Because</i> they are submarines, submarines are airtight.",by_virtue_of,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,11
trumpets are instruments,principled,trumpets, are instruments,"<i>Because</i> they are trumpets, trumpets are instruments.",by_virtue_of,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,11
hindus live in india ,statistical,Hindus, live in India,"Think about Hindus, how likely are they to live in India?",prevalence,,"very unlikely,,,neither unlikely nor likely,,,very likely",,,11
ants can bite,statistical,ants, can bite,"Think about ants, how likely are they to be able to bite?",prevalence,,"very unlikely,,,neither unlikely nor likely,,,very likely",,,11
bikers have tattoos ,statistical,bikers, have tattoos,"Think about bikers, how likely are they to have tattoos?",prevalence,,"very unlikely,,,neither unlikely nor likely,,,very likely",,,11
celebrities are arrogant,statistical,celebrities, are arrogant,"Think about celebrities, how likely are they to be arrogant?",prevalence,,"very unlikely,,,neither unlikely nor likely,,,very likely",,,11
diapers are white,statistical,diapers, are white,"Think about diapers, how likely are they to be white?",prevalence,,"very unlikely,,,neither unlikely nor likely,,,very likely",,,11
elms are tall,statistical,elms, are tall,"Think about elms, how likely are they to be tall?",prevalence,,"very unlikely,,,neither unlikely nor likely,,,very likely",,,11
hair nets are black ,statistical,hair nets, are black,"Think about hair nets, how likely are they to be black?",prevalence,,"very unlikely,,,neither unlikely nor likely,,,very likely",,,11
mammals are placental mammals,statistical,mammals, are placental mammals,"Think about mammals, how likely are they to be placental mammals?",prevalence,,"very unlikely,,,neither unlikely nor likely,,,very likely",,,11
pigs are kept in pens ,statistical,pigs, are kept in pens,"Think about pigs, how likely are they to be kept in pens?",prevalence,,"very unlikely,,,neither unlikely nor likely,,,very likely",,,11
roller skates have laces,statistical,roller skates, have laces,"Think about roller skates, how likely are they to have laces?",prevalence,,"very unlikely,,,neither unlikely nor likely,,,very likely",,,11
