item,type,subject,property,stimulus,question_type,prompt,choices,answer,catch,list_number
canadians live north of the us,principled,Canadians, live north of the US,Canadians live north of the US.,generic,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,4
mormons don’t drink alcohol,principled,Mormons, don’t drink alcohol,Mormons don’t drink alcohol.,generic,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,4
bachelors are unmarried,principled,bachelors, are unmarried,Bachelors are unmarried.,generic,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,4
bricks are rectangular,principled,bricks, are rectangular,Bricks are rectangular.,generic,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,4
cherries are red ,principled,cherries, are red,Cherries are red.,generic,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,4
dogs bark at strangers,statistical,dogs, bark at strangers,Dogs bark at strangers.,generic,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,4
fire trucks have hoses,principled,fire trucks, have hoses,Fire trucks have hoses.,generic,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,4
kangaroos have pouches,principled,kangaroos, have pouches,Kangaroos have pouches.,generic,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,4
mushrooms are fungi,principled,mushrooms, are fungi,Mushrooms are fungi.,generic,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,4
professors are highly educated,principled,professors, are highly educated,Professors are highly educated.,generic,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,4
sheep produce milk,principled,sheep, produce milk,Sheep produce milk.,generic,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,4
strawberries are red ,principled,strawberries, are red,Strawberries are red.,generic,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,4
trampolines are bouncy,principled,trampolines, are bouncy,Trampolines are bouncy.,generic,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,4
germans drink beer ,statistical,Germans, drink beer,Germans drink beer.,generic,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,4
ambulances have seatbelts,statistical,ambulances, have seatbelts,Ambulances have seatbelts.,generic,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,4
bees are worker bees,statistical,bees, are worker bees,Bees are worker bees.,generic,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,4
cats like milk,statistical,cats, like milk,Cats like milk.,generic,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,4
deer are brown,statistical,deer, are brown,Deer are brown.,generic,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,4
elk are brown,statistical,elk, are brown,Elk are brown.,generic,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,4
gymnasts are young,statistical,gymnasts, are young,Gymnasts are young.,generic,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,4
lions are male,statistical,lions, are male,Lions are male.,generic,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,4
pigeons sit on statues ,statistical,pigeons, sit on statues,Pigeons sit on statues.,generic,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,4
rocks are jagged ,statistical,rocks, are jagged,Rocks are jagged.,generic,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,4
sows are pink,statistical,sows, are pink,Sows are pink.,generic,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,4
taxis are yellow ,statistical,taxis, are yellow,Taxis are yellow.,generic,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,4
winters are snowy ,statistical,winters, are snowy,Winters are snowy.,generic,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,4
christians read the bible,principled,Christians, read the bible,"<i>Because</i> they are Christians, Christians read the bible.",by_virtue_of,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,4
muslims pray to allah,principled,Muslims, pray to Allah,"<i>Because</i> they are Muslims, Muslims pray to Allah.",by_virtue_of,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,4
bananas are yellow,principled,bananas, are yellow,"<i>Because</i> they are bananas, bananas are yellow.",by_virtue_of,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,4
bulldozers are heavy,principled,bulldozers, are heavy,"<i>Because</i> they are bulldozers, bulldozers are heavy.",by_virtue_of,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,4
clocks tell time,principled,clocks, tell time,"<i>Because</i> they are clocks, clocks tell time.",by_virtue_of,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,4
dolls are manufactured,principled,dolls, are manufactured,"<i>Because</i> they are dolls, dolls are manufactured.",by_virtue_of,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,4
goats have horns,principled,goats, have horns,"<i>Because</i> they are goats, goats have horns.",by_virtue_of,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,4
lemons are sour ,principled,lemons, are sour,"<i>Because</i> they are lemons, lemons are sour.",by_virtue_of,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,4
needles are sharp,principled,needles, are sharp,"<i>Because</i> they are needles, needles are sharp.",by_virtue_of,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,4
raccoons look like bandits,principled,raccoons, look like bandits,"<i>Because</i> they are raccoons, raccoons look like bandits.",by_virtue_of,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,4
shower caps are waterproof,principled,shower caps, are waterproof,"<i>Because</i> they are shower caps, shower caps are waterproof.",by_virtue_of,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,4
submarines are airtight,principled,submarines, are airtight,"<i>Because</i> they are submarines, submarines are airtight.",by_virtue_of,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,4
trumpets are instruments,principled,trumpets, are instruments,"<i>Because</i> they are trumpets, trumpets are instruments.",by_virtue_of,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,4
hindus live in india ,statistical,Hindus, live in India,"<i>Because</i> they are Hindus, Hindus live in India.",by_virtue_of,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,4
ants can bite,statistical,ants, can bite,"<i>Because</i> they are ants, ants can bite.",by_virtue_of,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,4
