item,type,subject,property,stimulus,question_type,prompt,choices,answer,catch,list_number
frenchmen are europeans,principled,Frenchmen, are Europeans,Frenchmen are Europeans.,generic,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,10
airplanes have wings,principled,airplanes, have wings,Airplanes have wings.,generic,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,10
bears can roar,principled,bears, can roar,Bears can roar.,generic,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,10
cars have four wheels,principled,cars, have four wheels,Cars have four wheels.,generic,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,10
dancers move gracefully ,principled,dancers, move gracefully,Dancers move gracefully.,generic,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,10
eggshells are fragile ,principled,eggshells, are fragile,Eggshells are fragile.,generic,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,10
grass is green ,principled,grass, is green,Grass is green.,generic,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,10
lifeguards can swim ,principled,lifeguards, can swim,Lifeguards can swim.,generic,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,10
peacocks have beautiful tails,principled,peacocks, have beautiful tails,Peacocks have beautiful tails.,generic,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,10
rocking chairs are unstable,principled,rocking chairs, are unstable,Rocking chairs are unstable.,generic,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,10
snow is white ,principled,snow, is white,Snow is white.,generic,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,10
tables are flat,principled,tables, are flat,Tables are flat.,generic,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,10
wallets hold money,principled,wallets, hold money,Wallets hold money.,generic,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,10
brazilians like soccer ,statistical,Brazilians, like soccer,Brazilians like soccer.,generic,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,10
jews go to a synagogue,statistical,Jews, go to a synagogue,Jews go to a synagogue.,generic,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,10
artists are eccentric ,statistical,artists, are eccentric,Artists are eccentric.,generic,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,10
books are paperbacks,statistical,books, are paperbacks,Books are paperbacks.,generic,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,10
cheetahs hunt gazelles,statistical,cheetahs, hunt gazelles,Cheetahs hunt gazelles.,generic,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,10
dogs have tails,principled,dogs, have tails,Dogs have tails.,generic,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,10
feathers are pretty,statistical,feathers, are pretty,Feathers are pretty.,generic,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,10
journalists carry notebooks,statistical,journalists, carry notebooks,Journalists carry notebooks.,generic,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,10
moose are brown,statistical,moose, are brown,Moose are brown.,generic,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,10
preschoolers cannot read,statistical,preschoolers, cannot read,Preschoolers cannot read.,generic,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,10
scissors are right-handed,statistical,scissors, are right-handed,Scissors are right-handed.,generic,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,10
squirrels live in parks,statistical,squirrels, live in parks,Squirrels live in parks.,generic,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,10
