responses,rt,answer,catch,choices,item,prompt,property,question_type,stimulus,subject,trial_num,type
"{""rating"":5}",6344.199999988079,,,"very unlikely,,,neither unlikely nor likely,,,very likely",eggshells are fragile ,, are fragile,cue_validity,"You learn that [unknown thing/people] are fragile, how likely is it to be eggshells?",eggshells,1,principled
"{""rating"":6}",5996.799999982119,,,"very unlikely,,,neither unlikely nor likely,,,very likely",tightrope walkers work in the circus,, work in the circus,cue_validity,"You learn that [unknown thing/people] work in the circus, how likely is it to be tightrope walkers?",tightrope walkers,4,statistical
"{""rating"":2}",9396.20000001788,,,"very unlikely,,,neither unlikely nor likely,,,very likely",frenchmen are europeans,, are Europeans,cue_validity,"You learn that [unknown thing/people] are Europeans, how likely is it to be Frenchmen?",Frenchmen,9,principled
"{""rating"":6}",7026.09999999404,,,"very unlikely,,,neither unlikely nor likely,,,very likely",cars have four wheels,, have four wheels,cue_validity,"You learn that [unknown thing/people] have four wheels, how likely is it to be cars?",cars,16,principled
"{""rating"":6}",5110.700000017881,,,"very unlikely,,,neither unlikely nor likely,,,very likely",cheerleaders have pompoms,, have pompoms,cue_validity,"You learn that [unknown thing/people] have pompoms, how likely is it to be cheerleaders?",cheerleaders,17,statistical
"{""rating"":4}",8036.199999988079,,,"very unlikely,,,neither unlikely nor likely,,,very likely",grass is green ,, is green,cue_validity,"You learn that [unknown thing/people] is green, how likely is it to be grass?",grass,29,principled
"{""rating"":6}",5373.9000000059605,,,"very unlikely,,,neither unlikely nor likely,,,very likely",dancers move gracefully ,, move gracefully,cue_validity,"You learn that [unknown thing/people] move gracefully, how likely is it to be dancers?",dancers,40,principled
"{""rating"":6}",3961.800000011921,,,"very unlikely,,,neither unlikely nor likely,,,very likely",milk comes from cows,, comes from cows,cue_validity,"You learn that [unknown thing/people] comes from cows, how likely is it to be milk?",milk,43,statistical
"{""rating"":2}",4803.699999988079,,,"very unlikely,,,neither unlikely nor likely,,,very likely",birds are kept in cages,, are kept in cages,cue_validity,"You learn that [unknown thing/people] are kept in cages, how likely is it to be birds?",birds,44,statistical
"{""rating"":3}",14677.5,,,"very unlikely,,,neither unlikely nor likely,,,very likely",architects are pretentious,, are pretentious,cue_validity,"You learn that [unknown thing/people] are pretentious, how likely is it to be architects?",architects,52,statistical
"{""rating"":0}",6138.5,completely false,catch,"completely false,,,neither true nor false,,,completely true",,,,cue_validity,Please select <i>completely false</i>.,,53,
"{""rating"":1}",9974.0,,,"very unlikely,,,neither unlikely nor likely,,,very likely",italians are catholic ,, are Catholic,cue_validity,"You learn that [unknown thing/people] are Catholic, how likely is it to be Italians?",Italians,54,statistical
"{""rating"":6}",4600.199999988079,,,"very unlikely,,,neither unlikely nor likely,,,very likely",sandpaper is sold at the hardware store,, is sold at the hardware store,cue_validity,"You learn that [unknown thing/people] is sold at the hardware store, how likely is it to be sandpaper?",sandpaper,56,statistical
"{""rating"":4}",5043.9000000059605,,,"very unlikely,,,neither unlikely nor likely,,,very likely",lifeguards can swim ,, can swim,cue_validity,"You learn that [unknown thing/people] can swim, how likely is it to be lifeguards?",lifeguards,57,principled
"{""rating"":6}",5290.700000017881,,,"very unlikely,,,neither unlikely nor likely,,,very likely",wallets hold money,, hold money,cue_validity,"You learn that [unknown thing/people] hold money, how likely is it to be wallets?",wallets,58,principled
"{""rating"":1}",5130.4000000059605,,,"very unlikely,,,neither unlikely nor likely,,,very likely",americans are brunettes,, are brunettes,cue_validity,"You learn that [unknown thing/people] are brunettes, how likely is it to be Americans?",Americans,61,statistical
"{""rating"":6}",4839.300000011921,,,"very unlikely,,,neither unlikely nor likely,,,very likely",peacocks have beautiful tails,, have beautiful tails,cue_validity,"You learn that [unknown thing/people] have beautiful tails, how likely is it to be peacocks?",peacocks,64,principled
"{""rating"":0}",4996.4000000059605,completely false,catch,"completely false,,,neither true nor false,,,completely true",,,,cue_validity,Please select <i>completely false</i>.,,68,
"{""rating"":0}",5872.9000000059605,,,"very unlikely,,,neither unlikely nor likely,,,very likely",rocking chairs are unstable,, are unstable,cue_validity,"You learn that [unknown thing/people] are unstable, how likely is it to be rocking chairs?",rocking chairs,71,principled
"{""rating"":4}",4823.800000011921,,,"very unlikely,,,neither unlikely nor likely,,,very likely",bears can roar,, can roar,cue_validity,"You learn that [unknown thing/people] can roar, how likely is it to be bears?",bears,76,principled
"{""rating"":6}",3915.2000000178814,,,"very unlikely,,,neither unlikely nor likely,,,very likely",snow is white ,, is white,cue_validity,"You learn that [unknown thing/people] is white, how likely is it to be snow?",snow,83,principled
"{""rating"":5}",4221.5,,,"very unlikely,,,neither unlikely nor likely,,,very likely",doctors are rich,, are rich,cue_validity,"You learn that [unknown thing/people] are rich, how likely is it to be doctors?",doctors,84,statistical
"{""rating"":0}",23876.59999999404,completely false,filler,"completely false,,,neither true nor false,,,completely true",,How true is the above statement?,,cue_validity,The tallest man alive is five feet tall.,,88,
"{""rating"":2}",6204.59999999404,,,"very unlikely,,,neither unlikely nor likely,,,very likely",spinach is sold in bags,, is sold in bags,cue_validity,"You learn that [unknown thing/people] is sold in bags, how likely is it to be spinach?",spinach,90,statistical
"{""rating"":5}",6426.0,,,"very unlikely,,,neither unlikely nor likely,,,very likely",airplanes have wings,, have wings,cue_validity,"You learn that [unknown thing/people] have wings, how likely is it to be airplanes?",airplanes,95,principled
"{""rating"":6}",5485.5,,,"very unlikely,,,neither unlikely nor likely,,,very likely",horses wear horseshoes,, wear horseshoes,cue_validity,"You learn that [unknown thing/people] wear horseshoes, how likely is it to be horses?",horses,99,statistical
"{""rating"":4}",4468.5,,,"very unlikely,,,neither unlikely nor likely,,,very likely",police officers eat donuts,, eat donuts,cue_validity,"You learn that [unknown thing/people] eat donuts, how likely is it to be police officers?",police officers,103,statistical
"{""rating"":5}",7483.799999982119,,,"very unlikely,,,neither unlikely nor likely,,,very likely",engineers are male,, are male,cue_validity,"You learn that [unknown thing/people] are male, how likely is it to be engineers?",engineers,109,statistical
"{""rating"":6}",3886.100000023842,,,"very unlikely,,,neither unlikely nor likely,,,very likely",tables are flat,, are flat,cue_validity,"You learn that [unknown thing/people] are flat, how likely is it to be tables?",tables,111,principled
"{""rating"":0}",5673.299999982119,completely false,filler,"completely false,,,neither true nor false,,,completely true",,How true is the above statement?,,cue_validity,Two plus one is equal to six.,,113,
"{""rating"":5}",5286.4000000059605,,,"very unlikely,,,neither unlikely nor likely,,,very likely",bikers have tattoos ,, have tattoos,prevalence,"Think about bikers, how likely are they to have tattoos?",bikers,2,statistical
"{""rating"":6}",3138.7999999821186,,,"very unlikely,,,neither unlikely nor likely,,,very likely",barns are buildings,, are buildings,prevalence,"Think about barns, how likely are they to be buildings?",barns,7,principled
"{""rating"":5}",3963.09999999404,,,"very unlikely,,,neither unlikely nor likely,,,very likely",hindus live in india ,, live in India,prevalence,"Think about Hindus, how likely are they to live in India?",Hindus,20,statistical
"{""rating"":6}",4168.09999999404,,,"very unlikely,,,neither unlikely nor likely,,,very likely",hair nets are black ,, are black,prevalence,"Think about hair nets, how likely are they to be black?",hair nets,27,statistical
